    ,Ngày đăng bài,Tên,Giá,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
13,27/09/2025,Ford Ranger XL 2.2 4x4 MT 2010,200 triệu,2010,Máy dầu,Bán tải,Xe cũ,199.999 km,Số sàn,Nhập khẩu,Gia Lai
14,30/09/2025,Toyota Corolla Altis 1.8G CVT 2021,635 triệu,2021,Máy xăng,Sedan,Xe cũ,6.000 km,Số tự động,Nhập khẩu,Đồng Nai
15,03/10/2025,VinFast Fadil Tiêu Chuẩn 2021,295 triệu,2021,Máy xăng,Hatchback,Xe cũ,49.000 km,Số tự động,Trong nước,Nghệ An
16,06/10/2025,Peugeot 3008 2018,530 triệu,2018,Máy xăng,SUV,Xe cũ,130.000 km,Số tự động,Trong nước,Hà Nội
17,29/09/2025,Hyundai Accent 1.4 AT 2023,460 triệu,2023,Máy xăng,Sedan,Xe cũ,5.200 km,Số tự động,Nhập khẩu,Đắk Lắk
18,28/09/2025,Ford Focus S 2.0AT 2007,115 triệu,2007,Máy xăng,Sedan,Xe cũ,180.000 km,Số tự động,Nhập khẩu,Hà Nam
19,04/10/2025,Hyundai Accent 1.4 AT Đặc biệt 2023,430 triệu,2023,Máy xăng,Sedan,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Tây Ninh
20,30/09/2025,Mitsubishi Xpander AT Premium 2022,556 triệu,2022,Máy xăng,Crossover,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tp.HCM
21,01/10/2025,Mercedes-Benz GLC 300 2017,1 tỉ 150 triệu,2017,Máy xăng,SUV,Xe cũ,80 km,Số tự động,Nhập khẩu,Tp.HCM
22,04/10/2025,Kia Sorento 2.4 GAT Deluxe 2016,458 triệu,2016,Máy xăng,SUV,Xe cũ,93.000 km,Số tự động,Trong nước,Gia Lai
23,04/10/2025,VinFast LUX SA2.0 Nâng cao 2021,651 triệu,2021,Máy xăng,SUV,Xe cũ,75.000 km,Số tự động,Trong nước,Tp.HCM
24,07/10/2025,Honda CR-V 1.5 G 2023,870 triệu,2023,Máy xăng,SUV,Xe cũ,13.000 km,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM
25,02/10/2025,VinFast Fadil Tiêu Chuẩn 2021,300 triệu,2021,Máy xăng,Hatchback,Xe cũ,4.200 km,Số tự động,Trong nước,Đồng Nai
26,29/09/2025,Toyota Zace 2002,110 triệu,2002,Máy xăng,Sedan,Xe cũ,240.000 km,Số sàn,Trong nước,Tp.HCM
27,02/10/2025,Hyundai Grand i10 Hatchback 1.2 MT Base 2019,220 triệu,2019,Máy xăng,Hatchback,Xe cũ,150.000 km,Số sàn,Trong nước,Tp.HCM
28,29/09/2025,Toyota Innova 2007,115 triệu,2007,Máy xăng,MPV,Xe cũ,200.000 km,Số sàn,Nhập khẩu,Đồng Nai
29,02/10/2025,Toyota Corolla Cross 1.8 V 2021,705 triệu,2021,Máy xăng,SUV,Xe cũ,35.600 km,Số tự động,Nhập khẩu,Cần Thơ
30,29/09/2025,Toyota Innova 2007,115 triệu,2007,Máy xăng,MPV,Xe cũ,200.000 km,Số sàn,Nhập khẩu,Đồng Nai
31,02/10/2025,Toyota Corolla Cross 1.8 V 2021,705 triệu,2021,Máy xăng,SUV,Xe cũ,35.600 km,Số tự động,Nhập khẩu,Cần Thơ
32,04/10/2025,Kia K3 2.0 Premium 2022,580 triệu,2022,Máy xăng,Sedan,Xe cũ,45.000 km,Số tự động,Trong nước,Hải Dương
33,01/10/2025,Toyota Fortuner 2.4G 4x2 AT 2019,655 triệu,2019,Máy dầu,SUV,Xe cũ,145.000 km,Số sàn,Nhập khẩu,Bình Dương
34,28/09/2025,Hyundai Kona 1.6 Turbo 2019,520 triệu,2019,Máy xăng,SUV,Xe cũ,9.999 km,Số tự động,Nhập khẩu,Hà Nội
35,01/10/2025,Isuzu D-Max 2022,415 triệu,2022,Máy dầu,Bán tải,Xe cũ,46.000 km,Số sàn,Nhập khẩu,Đà Nẵng
36,05/10/2025,Toyota Vios 1.5E MT 2023,360 triệu,2023,Máy xăng,Sedan,Xe cũ,128.000 km,Số sàn,Trong nước,Tp.HCM
37,02/10/2025,VinFast Fadil Tiêu Chuẩn 2019,299 triệu,2019,Máy xăng,Hatchback,Xe cũ,12.997 km,Số tự động,Trong nước,Tp.HCM
38,01/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2018,200 triệu,2018,Máy xăng,Sedan,Xe cũ,120.000 km,Số sàn,Trong nước,Quảng Ninh
39,01/10/2025,Mercedes-Benz GLC 300 4Matic 2019,1 tỉ 068 triệu,2019,Máy xăng,SUV,Xe cũ,67.999 km,Số tự động,Trong nước,Tp.HCM
40,01/10/2025,Mazda 3 Sedan 1.5L Deluxe 2021,550 triệu,2021,Máy xăng,Hatchback,Xe cũ,11.344 km,Số tự động,Nhập khẩu,An Lão - Long An
41,30/09/2025,Toyota Raize 2022,480 triệu,2022,Máy xăng,SUV,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Tp.HCM
42,01/10/2025,Hyundai Elantra 1.6 AT 2016,370 triệu,2016,Máy xăng,Sedan,Xe cũ,72.985 km,Số tự động,Nhập khẩu,Hà Nội
43,29/09/2025,Hyundai Santa Fe Prestige 2021,1 tỉ 060 triệu,2021,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Hà Nội
44,28/09/2025,Mazda CX-3 2023,500 triệu,2023,Máy xăng,Crossover,Xe cũ,18.612 km,Số tự động,Nhập khẩu,Quảng Nam
45,29/09/2025,Nissan Navara 2.5 AT 2019,450 triệu,2019,Máy dầu,Bán tải,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Tp.HCM
46,05/10/2025,Kia Morning 1.0MT 2016,140 triệu,2016,Máy xăng,Hatchback,Xe cũ,103.993 km,Số sàn,Trong nước,Tp.HCM
47,28/09/2025,Toyota Zace 2004,135 triệu,2004,Máy xăng,MPV,Xe cũ,01 km,Số sàn,Trong nước,Đồng Nai
48,06/10/2025,Toyota Fortuner 2015,430 triệu,2015,Máy dầu,SUV,Xe cũ,239.000 km,Số tự động,Nhập khẩu,Hà Nội
49,05/10/2025,Kia Morning SLX 1.0 AT 2009,125 triệu,2009,Máy xăng,Hatchback,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Hà Nội
50,04/10/2025,Kia Rondo 2017,380 triệu,2017,Máy xăng,MPV,Xe cũ,118.000 km,Số tự động,Nhập khẩu,Tp.HCM
51,30/09/2025,Mitsubishi Attrage CVT 2021,350 triệu,2021,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tp.HCM
52,16/09/2025,Ford Territory Titanium X 2023,805 triệu,2023,Máy xăng,SUV,Xe cũ,20.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
53,04/10/2025,Toyota Fortuner 2019,780 triệu,2019,Máy dầu,SUV,Xe cũ,120 km,Số tự động,Nhập khẩu,Tp.HCM
54,29/09/2025,Kia Morning MT 2015,150 triệu,2015,Máy xăng,Hatchback,Xe cũ,150.000 km,Số sàn,Trong nước,Tp.HCM
55,19/09/2025,Ford Transit 9 Chỗ 2.4 Diesel 2018,465 triệu,2018,Máy dầu,Van/Minivan,Xe cũ,130.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
56,04/10/2025,Hyundai Santa Fe 2018,695 triệu,2018,Máy dầu,SUV,Xe cũ,10 km,Số tự động,Trong nước,Hà Nội
57,03/10/2025,Daewoo Lacetti CDX 1.6 AT 2010,135 triệu,2010,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Long An
58,29/09/2025,BMW 320i 2015,550 triệu,2015,Máy xăng,Sedan,Xe cũ,84.000 km,Số tự động,Nhập khẩu,Tp.HCM
59,04/10/2025,Hyundai Tucson 2.0 Tiêu chuẩn 2021,640 triệu,2021,Máy xăng,SUV,Xe cũ,72.000 km,Số tự động,Nhập khẩu,Hà Đông - Hà Nội
60,03/10/2025,Toyota Vios 1.5E MT 2019,280 triệu,2019,Máy xăng,Sedan,Xe cũ,220.000 km,Số sàn,Nhập khẩu,Tp.HCM
61,22/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2020,475 triệu,2020,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
62,28/09/2025,Hyundai Elantra N. Line 2023,659 triệu,2023,Máy xăng,Sedan,Xe cũ,12.000 km,Số tự động,Nhập khẩu,Tp.HCM
63,02/10/2025,Toyota Fortuner 2.7V 2017,670 triệu,2017,Máy xăng,SUV,Xe cũ,124.650 km,Số tự động,Nhập khẩu,Tp.HCM
64,02/10/2025,Kia Rondo 2.0 GMT 2017,305 triệu,2017,Máy xăng,SUV,Xe cũ,103.000 km,Số tự động,Trong nước,Tp.HCM
65,30/09/2025,Peugeot 2008 2021,589 triệu,2021,Máy xăng,SUV,Xe cũ,700.000 km,Số tự động,Trong nước,Đồng Nai
66,28/09/2025,Hyundai Accent 1.4 AT Đặc biệt 2020,375 triệu,2020,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tân Phước - Đà Nẵng
67,07/10/2025,Hyundai Santa Fe 2007,185 triệu,2007,Máy xăng,SUV,Xe cũ,10.000 km,Số tự động,Nhập khẩu,Hà Nội
68,19/09/2025,Ford Transit 9 Chỗ 2.4 Diesel 2018,485 triệu,2018,Máy dầu,Van/Minivan,Xe cũ,100.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
69,09/09/2025,Toyota Corolla Altis 1.8 G 2021,608 triệu,2021,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
70,03/10/2025,VinFast VF8 2024,855 triệu,2024,Máy xăng,N/A,Xe cũ,16.000 km,Số tự động,Trong nước,Vĩnh Yên - Vĩnh Phúc
71,05/10/2025,Honda Civic 1.5 Turbo RS 2023,800 triệu,2023,Máy xăng,Sedan,Xe cũ,9.200 km,Số tự động,Nhập khẩu,Tp.HCM
72,27/09/2025,Toyota Innova 2.0G 2006,180 triệu,2006,Máy xăng,MPV,Xe cũ,126.000 km,Số tự động,Trong nước,Đồng Nai
73,27/09/2025,Suzuki Ciaz 1.4 AT 2019,300 triệu,2019,Máy xăng,Sedan,Xe cũ,140.000 km,Số tự động,Nhập khẩu,Thanh Hóa
74,03/10/2025,Hyundai Stargazer 1.5 AT Cao cấp 2022,420 triệu,2022,Máy xăng,MPV,Xe cũ,50.000 km,Số tự động,Trong nước,Vĩnh Yên - Vĩnh Phúc
75,28/09/2025,Mercedes-Benz GLK 300 4Matic 2009,330 triệu,2009,Máy xăng,SUV,Xe cũ,150.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM
76,07/10/2025,Hyundai Tucson 2.0 Dầu đặc biệt 2009,210 triệu,2009,Máy dầu,SUV,Xe cũ,205.000 km,Số tự động,Nhập khẩu,Đồng Nai
77,02/10/2025,Toyota Fortuner 2.5G 4x2 MT 2013,400 triệu,2013,Máy dầu,SUV,Xe cũ,300.000 km,Số sàn,Nhập khẩu,Vĩnh Long
78,28/09/2025,Kia Sorento 2021,830 triệu,2021,Máy dầu,SUV,Xe cũ,44.000 km,Số tự động,Trong nước,Tp.HCM
79,28/09/2025,Mazda CX-5 2.0 Deluxe 2020,590 triệu,2020,Máy xăng,SUV,Xe cũ,150.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
80,27/09/2025,Mazda 3 1.5L Sedan 2018,448 triệu,2018,Máy xăng,Sedan,Xe cũ,56.000 km,Số tự động,Nhập khẩu,Hà Nội
81,15/09/2025,BMW 320i Sport Line 2023,1 tỉ 330 triệu,2023,Máy xăng,Sedan,Xe cũ,22.500 km,Số tự động,Trong nước,Quận 8 - Tp.HCM
82,06/10/2025,Mercedes-Benz C200 Avantgarde Plus 2022,1 tỉ 290 triệu,2022,Máy xăng,Sedan,Xe cũ,47.000 km,Số tự động,Trong nước,Quận 8 - Tp.HCM
83,01/10/2025,Lexus RX 300 2021,2 tỉ 850 triệu,2021,Máy xăng,SUV,Xe cũ,12.000 km,Số tự động,Trong nước,Gò Vấp - Tp.HCM
84,03/10/2025,VinFast VF8 2024,840 triệu,2024,Máy xăng,N/A,Xe cũ,16.000 km,Số tự động,Trong nước,Vĩnh Yên - Vĩnh Phúc
85,04/10/2025,Kia Sorento 2.4 GATH Premium 2016,450 triệu,2016,Máy xăng,SUV,Xe cũ,10.000 km,Số tự động,Nhập khẩu,Hà Nội
86,29/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2022,568 triệu,2022,Máy xăng,Sedan,Xe cũ,30.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
87,30/09/2025,Chevrolet Aveo MT 2016,136 triệu,2016,Máy xăng,Sedan,Xe cũ,138.000 km,Số sàn,Trong nước,Tp.HCM
88,02/10/2025,Mazda 3 2019,430 triệu,2019,Máy xăng,Sedan,Xe cũ,112.000 km,Số tự động,Trong nước,Đà Nẵng
89,29/09/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2024,865 triệu,2024,Máy dầu,Bán tải,Xe cũ,15.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
90,02/10/2025,Mazda 3 2019,430 triệu,2019,Máy xăng,Sedan,Xe cũ,112.000 km,Số tự động,Trong nước,Đà Nẵng
91,29/09/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2024,865 triệu,2024,Máy dầu,Bán tải,Xe cũ,15.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
92,09/09/2025,Land Rover Range Rover Evoque Prestige 2012,499 triệu,2012,Máy xăng,SUV,Xe cũ,67.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
93,30/09/2025,Ford Ranger XLS 2.0L 4x2 MT 2016,379 triệu,2016,Máy dầu,Bán tải,Xe cũ,98.764 km,Số sàn,Nhập khẩu,Bình Dương
94,27/09/2025,MG RX5 1.5 LUX 2024,665 triệu,2024,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
95,05/10/2025,Ford Everest Titanium 2.0L AT 4WD 2025,1 tỉ 610 triệu,2025,Máy dầu,Bán tải,Xe cũ,4.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
96,03/10/2025,VinFast VF8 2024,840 triệu,2024,Máy xăng,N/A,Xe cũ,16.000 km,Số tự động,Trong nước,Vĩnh Yên - Vĩnh Phúc
97,05/10/2025,Kia Sonet 1.5 Premium 2023,540 triệu,2023,Máy xăng,SUV,Xe cũ,12.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
98,04/10/2025,Kia Carnival 2.2D Signature 2022,1 tỉ 208 triệu,2022,Máy dầu,MPV,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
99,02/10/2025,Chevrolet Captiva LT 2.4 2013,215 triệu,2013,Máy xăng,SUV,Xe cũ,10.000 km,Số tự động,Trong nước,Bắc Ninh
100,30/09/2025,Honda CR-V 2020,800 triệu,2020,Máy xăng,SUV,Xe cũ,40.000 km,Số tự động,Trong nước,Phan Rang - Tháp Chàm - Ninh Thuận
101,05/10/2025,Mazda 2 1.5AT 2025,432 triệu,2025,Máy xăng,Sedan,Xe cũ,6.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
102,04/10/2025,Mazda 3 2021,550 triệu,2021,Máy xăng,Sedan,Xe cũ,33.000 km,Số tự động,Trong nước,Bình Dương
103,04/10/2025,VinFast VF e34 Tiêu chuẩn 2022,470 triệu,2022,Điện,SUV,Xe cũ,34.000 km,Số tự động,Trong nước,Tp.HCM
104,30/09/2025,Isuzu D-Max LS 2.5 4x4 MT 2015,300 triệu,2015,Máy dầu,Bán tải,Xe cũ,50.000 km,Số sàn,Nhập khẩu,Đắk Nông
105,05/10/2025,Mazda 2 1.5AT 2025,432 triệu,2025,Máy xăng,Sedan,Xe cũ,6.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
106,04/10/2025,Mazda 3 2021,550 triệu,2021,Máy xăng,Sedan,Xe cũ,33.000 km,Số tự động,Trong nước,Bình Dương
107,04/10/2025,VinFast VF e34 Tiêu chuẩn 2022,470 triệu,2022,Điện,SUV,Xe cũ,34.000 km,Số tự động,Trong nước,Tp.HCM
108,30/09/2025,Isuzu D-Max LS 2.5 4x4 MT 2015,300 triệu,2015,Máy dầu,Bán tải,Xe cũ,50.000 km,Số sàn,Nhập khẩu,Đắk Nông
109,30/09/2025,Toyota Vios 1.5 G CVT 2017,320 triệu,2017,Máy xăng,Sedan,Xe cũ,200.000 km,Số tự động,Trong nước,Tp.HCM
110,28/09/2025,VinFast Fadil Cao cấp 2020,320 triệu,2020,Máy xăng,Hatchback,Xe cũ,38.000 km,Số tự động,Trong nước,Tp.HCM
111,02/10/2025,Kia Forte SX 1.6 MT 2011,170 triệu,2011,Máy xăng,Sedan,Xe cũ,165.000 km,Số sàn,Trong nước,Trà Vinh
112,07/10/2025,Mitsubishi Pajero Sport D 4x2 AT 2012,320 triệu,2012,Máy dầu,SUV,Xe cũ,160.000 km,Số tự động,Trong nước,Tp.HCM
113,03/10/2025,Daewoo Lacetti CDX 1.6 AT 2010,135 triệu,2010,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Long An
114,02/10/2025,Kia K3 1.6AT 2015,265 triệu,2015,Máy xăng,Sedan,Xe cũ,130.000 km,Số tự động,Trong nước,Vĩnh Phúc
115,29/09/2025,Chevrolet Spark 2016,147 triệu,2016,Máy xăng,Hatchback,Xe cũ,20.000 km,Số sàn,Nhập khẩu,Tp.HCM
116,03/10/2025,VinFast LUX A2.0 Cao cấp 2020,560 triệu,2020,Máy xăng,Sedan,Xe cũ,72.000 km,Số tự động,Trong nước,Văn Giang - Hưng Yên
117,05/10/2025,Honda City 1.5 L 2021,425 triệu,2021,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Tp.HCM
118,06/10/2025,Mazda CX-5 2.0 Luxury 2024,750 triệu,2024,Máy xăng,SUV,Xe cũ,20.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
119,30/09/2025,Chevrolet Spark LT 1.0 MT 2012,130 triệu,2012,Máy xăng,Hatchback,Xe cũ,155.000 km,Số sàn,Trong nước,Thanh Khê - Đà Nẵng
120,04/10/2025,Toyota Vios 1.5E MT 2018,290 triệu,2018,Máy xăng,Sedan,Xe cũ,56.000 km,Số sàn,Trong nước,Đồng Nai
121,30/09/2025,Mitsubishi Xpander 2023,539 triệu,2023,Máy xăng,MPV,Xe cũ,55 km,Số tự động,Nhập khẩu,Tây Ninh
122,03/10/2025,Chevrolet Cruze 2016,200 triệu,2016,Máy xăng,N/A,Xe cũ,75.000 km,Số tự động,Trong nước,Vĩnh Yên - Vĩnh Phúc
123,02/10/2025,Honda CR-V 2.4L TG 2016,525 triệu,2016,Máy xăng,SUV,Xe cũ,110.000 km,Số tự động,Nhập khẩu,Hà Nội
124,03/10/2025,VinFast LUX A2.0 2021,495 triệu,2021,Máy xăng,N/A,Xe cũ,36.000 km,Số tự động,Trong nước,Vĩnh Yên - Vĩnh Phúc
125,24/09/2025,Peugeot 2008 GT Line 2022,628 triệu,2022,Máy xăng,SUV,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
126,30/09/2025,Suzuki XL7 GLX 2022,475 triệu,2022,Máy xăng,SUV,Xe cũ,35.000 km,Số tự động,Nhập khẩu,Bình Tân - Tp.HCM
127,29/09/2025,Toyota Vios 1.5 E CVT 2022,430 triệu,2022,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Hoài Đức - Hà Nội
128,27/09/2025,Hyundai Tucson 2.0 Dầu đặc biệt 2019,600 triệu,2019,Máy dầu,SUV,Xe cũ,150.000 km,Số tự động,Nhập khẩu,Hà Nội
129,30/09/2025,Kia Morning GT-LINE 2022,350 triệu,2022,Máy xăng,Hatchback,Xe cũ,30.000 km,Số tự động,Nhập khẩu,Hà Nội
130,07/10/2025,Mazda 2 1.5AT 2023,390 triệu,2023,Máy xăng,Sedan,Xe cũ,20.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
131,30/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2024,410 triệu,2024,Máy xăng,Hatchback,Xe cũ,20.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
132,30/09/2025,Mazda 2 1.5AT 2024,410 triệu,2024,Máy xăng,Sedan,Xe cũ,12.000 km,Số tự động,Nhập khẩu,Đống Đa - Hà Nội
133,11/09/2025,Mazda 2 1.5AT 2024,410 triệu,2024,Máy xăng,Sedan,Xe cũ,12.000 km,Số tự động,Nhập khẩu,Việt Trì - Phú Thọ
134,29/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2024,410 triệu,2024,Máy xăng,Hatchback,Xe cũ,20.000 km,Số tự động,Trong nước,Việt Trì - Phú Thọ
135,01/10/2025,Hyundai Accent 1.4 AT Đặc biệt 2019,370 triệu,2019,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Trong nước,Đà Nẵng
136,27/09/2025,Mitsubishi Xpander AT 2022,480 triệu,2022,Máy xăng,MPV,Xe cũ,110.000 km,Số tự động,Nhập khẩu,Đồng Nai
137,22/09/2025,Hyundai Grand Starex 2.4 MT 2017,450 triệu,2017,Máy dầu,Van/Minivan,Xe cũ,15.000 km,Số sàn,Nhập khẩu,Đông Anh - Hà Nội
138,28/09/2025,Toyota Corolla Altis 1.8G MT 2002,115 triệu,2002,Máy xăng,Sedan,Xe cũ,290.000 km,Số sàn,Trong nước,Đà Nẵng
139,02/10/2025,Toyota Vios 1.5 G CVT 2019,355 triệu,2019,Máy xăng,Sedan,Xe cũ,38.000 km,Số tự động,Trong nước,Hà Nội
140,25/09/2025,Porsche Cayenne 2014,1 tỉ 199 triệu,2014,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
141,05/10/2025,Mitsubishi Xpander AT Premium 2023,535 triệu,2023,Máy xăng,MPV,Xe cũ,57.000 km,Số tự động,Nhập khẩu,Đồng Nai
142,05/10/2025,Ford Focus 1.8L 2011,200 triệu,2011,Máy xăng,Sedan,Xe cũ,150.000 km,Số tự động,Trong nước,Hà Nội
143,02/10/2025,Ford Everest Titanium 2.2L 4x2 AT 2022,1 tỉ 140 triệu,2022,Máy xăng,SUV,Xe cũ,27.000 km,Số tự động,Nhập khẩu,Tây Ninh
144,17/09/2025,Ford Ranger XLS 2.2 4x2 MT 2018,465 triệu,2018,Máy dầu,Bán tải,Xe cũ,66.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
145,04/10/2025,Ford Ranger 2023,800 triệu,2023,Máy dầu,Bán tải,Xe cũ,18.000 km,Số tự động,Nhập khẩu,Tp.HCM
146,11/09/2025,Honda CR-V 1.5 E 2019,658 triệu,2019,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Nhập khẩu,An Dương - Hải Phòng
147,27/09/2025,Hyundai Grand i10 2015,125 triệu,2015,Máy xăng,Sedan,Xe cũ,50.000 km,Số sàn,Nhập khẩu,Hoàng Mai - Hà Nội
148,05/10/2025,Ford EcoSport Titanium 2016,320 triệu,2016,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Tp.HCM
149,03/10/2025,Acura CDX 2010,158 triệu,2010,Máy xăng,Sedan,Xe cũ,170.000 km,Số tự động,Nhập khẩu,Hà Nội
150,23/09/2025,Mazda 3 Sedan 1.5L Deluxe 2022,495 triệu,2022,Máy xăng,Sedan,Xe cũ,42.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
151,17/09/2025,Ford Transit 2022,715 triệu,2022,Máy dầu,Van/Minivan,Xe cũ,40.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
152,01/10/2025,Toyota Corolla Cross 1.8 V 2021,660 triệu,2021,Máy xăng,Crossover,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Bà Rịa Vũng Tàu
153,04/10/2025,Toyota Innova 2.0E 2017,390 triệu,2017,Máy xăng,MPV,Xe cũ,165.902 km,Số tự động,Nhập khẩu,Tp.HCM
154,27/09/2025,Kia Seltos 1.6 Premium 2020,559 triệu,2020,Máy xăng,Crossover,Xe cũ,38.632 km,Số tự động,Nhập khẩu,Tp.HCM
155,28/09/2025,Suzuki Swift 1.4 AT 2016,300 triệu,2016,Máy xăng,Hatchback,Xe cũ,50.000 km,Số tự động,Trong nước,Hà Nội
156,01/10/2025,Kia Sedona 2.2 DAT 2017,539 triệu,2017,Máy dầu,MPV,Xe cũ,90.000 km,Số tự động,Trong nước,Đà Nẵng
157,29/09/2025,BMW 735i M Sport 2023,4 tỉ 150 triệu,2023,Máy xăng,Sedan,Xe cũ,12.000 km,Số tự động,Nhập khẩu,Quận 1 - Tp.HCM
158,03/10/2025,Honda City 1.5 L 2022,420 triệu,2022,Máy xăng,Sedan,Xe cũ,32.000 km,Số tự động,Trong nước,Tp.HCM
159,10/09/2025,Toyota Corolla Cross 1.8 V 2023,700 triệu,2023,Máy xăng,SUV,Xe cũ,43.000 km,Số tự động,Trong nước,An Dương - Hải Phòng
